"#",Lens ID,Title
291,153-189-962-430-774,DEFINING STAGED QUANTUM APPLICATIONS COMPOSED OF GRAPH-BASED WORKFLOWS
292,092-294-013-188-828,Low latency scalable parallel streaming matching for quantum computing systems
293,005-657-182-199-004,QUANTUM ERROR CORRECTION USING REAL PROJECTIVE PLANE TOPOLOGY DEFINED STABILIZERS
294,008-689-370-721-889,Thermalization and Attenuation of Signals within Quantum Computing Systems via Directional Couplers
295,042-326-945-004-806,RAPID MULTI-LEVEL QUBIT RESET
296,033-589-429-991-495,Apparatus and method including scalable representations of arbitrary quantum computing rotations
297,053-830-835-882-431,Tracking and mitigation of quasiparticle poisoning errors in Majorana quantum computing systems
298,089-875-631-763-399,LAYOUTS FOR FAULT-TOLERANT QUANTUM COMPUTERS
299,138-928-956-837-087,Characterization of quantum logic circuits
300,148-112-686-991-308,FREQUENCY CONTROL AND TUNING OF MODULAR DEVICES
301,156-919-009-310-242,QUANTUM COMPUTING DEVICE AND METHOD FOR MANUFACTURING QUANTUM COMPUTING DEVICE
302,176-984-033-296-299,Amplitude modulated pulses for implementation of entangling gates in ion trap quantum computers
303,177-300-760-513-065,QUANTUM CIRCUITS AND DECODERS FOR COLOR CODES
304,190-624-889-719-314,CALIBRATING A QUANTUM ERROR MITIGATION TECHNIQUE
305,006-457-084-053-984,Probabilistic error cancellation for measurement-based quantum computation
306,134-348-382-478-807,MAGIC STATE INJECTION INTO SURFACE CODES USING HOOK ERROR MECHANISMS
307,025-478-830-686-989,Logical qubit encoding surface
308,064-856-263-128-197,ATTENUATOR FOR QUBIT DRIVE SIGNALS
309,118-350-013-527-717,QUANTUM COMPUTING WITH KERNEL METHODS FOR MACHINE LEARNING
310,093-503-667-430-905,Josephson parametric devices having same-frequency ports
311,018-569-454-768-824,Composite quantum gate calibration
312,190-083-312-240-000,ENHANCED DECODING OF QUANTUM ERROR CORRECTION CODES WITH IN-PHASE AND QUADRATURE INFORMATION
313,016-112-165-255-376,REDUCTION OF QUBIT LATTICE THAT INCLUDES DEAD DATA QUBITS AND AUXILIARY QUBITS
314,189-121-096-818-857,Measurement based uncomputation for quantum circuit optimization
315,003-313-249-422-062,QUANTUM DEVICE AND QUANTUM DEVICE PRODUCTION METHOD
316,017-436-323-386-783,Efficient synthesis of optimal multi-qubit Clifford circuits
317,059-673-163-759-386,Microelectromechanical system (MEMS) interconnect including spring body with at least two spring arms micromachined from silicon substrate
318,113-516-507-667-993,QUBIT SURFACE ALLOCATION SYSTEM
319,121-231-161-728-197,PREEMPTING A QUANTUM PROGRAM IN A QUANTUM COMPUTING DEVICE
320,138-810-987-958-072,METHOD AND SYSTEM FOR NOISE CANCELLATION BASED ON QUBIT FEEDBACK
321,149-912-816-379-435,QUBIT CALIBRATION
322,170-048-150-072-016,COMBINED TABLE LOOKUP AT QUANTUM COMPUTING DEVICE
323,190-772-099-171-117,METHOD AND SYSTEM FOR ESTIMATING A GROUND STATE ENERGY OF A QUANTUM CHEMICAL SYSTEM
324,037-382-697-469-617,Technologies for radio frequency optimized interconnects for a quantum processor
325,122-256-707-726-378,SCALABLE THERMALIZATION OF WIRING AND ATTENUATION OF SIGNALS FOR QUANTUM DEVICES WITHIN QUANTUM COMPUTING SYSTEMS
326,145-917-905-881-491,PARAMETRIC FLUORESCENT READOUT FOR SUPERCONDUCTING QUBITS
327,194-195-712-238-50X,TRANSMON QUBIT FLIP-CHIP STRUCTURES FOR QUANTUM COMPUTING DEVICES
328,159-570-748-686-542,TRACKING AND MITIGATION OF QUASIPARTICLE POISONING ERRORS IN MAJORANA QUANTUM COMPUTING SYSTEMS
329,028-839-570-506-960,Classical to quantum remapping for hybrid quantum computing systems
330,035-238-012-886-508,CALIBRATIONS DURING TANDEM EXECUTION OF QUANTUM CIRCUITS
331,031-684-350-359-49X,REDUCING THE SAMPLING COST OF QUANTUM ERROR MITIGATION BY COMPUTING TIME-EVOLVED COMMUTATORS
332,050-486-530-858-300,HYBRID CLASSICAL-QUANTUM UNSUPERVISED MULTICLASS CLASSIFICATION
333,052-017-904-671-278,Fabricating a device using a multilayer stack
334,068-497-012-507-559,MEMORY MANAGEMENT IN A QUANTUM OPERATING SYSTEM
335,057-616-518-474-838,INCOHERENT APPROXIMATIONS OF LEAKAGE FOR EFFICIENT SIMULATIONS OF NOISY QUANTUM COMPUTATIONS
336,094-640-487-382-587,REDUCED DENSITY MATRIX ESTIMATION FOR Fermi SUBSYSTEM USING PARTICULATE PARTICLE CONVERSION OF
337,088-112-389-624-195,ENHANCING THE ELECTRON PAIR APPROXIMATION WITH MEASUREMENTS FOR THE VARIATIONAL QUANTUM EIGENSOLVER
338,093-920-603-461-398,Fidelity estimation for quantum computing systems
339,099-165-740-825-719,QUANTUM PROGRAM COMPILATION IN A QUANTUM OPERATING SYSTEM
340,135-724-880-895-542,Calibrating a quantum error mitigation technique
341,149-284-191-964-348,ADAPTIVE ERROR CORRECTION IN QUANTUM COMPUTING
342,175-564-926-984-761,Online Calibration of Qubits During Quantum Computation Runtime
343,175-363-686-172-228,Radio frequency signal integrity verification
344,187-616-387-810-056,CLASSIFICATION USING QUANTUM NEURAL NETWORKS
345,100-831-669-647-176,Integrating circuit elements in a stacked quantum computing device
346,074-188-244-833-183,Virtual distillation for quantum error mitigation
347,010-359-210-743-739,CYCLIC STORAGE AREAS FOR QUANTUM COMPUTING
348,069-157-701-164-526,Communication coordination and node synchronization for enhanced quantum circuit operation employing a hybrid classical/quantum system
349,143-895-157-075-074,Fast Reset of Qubits for Quantum Computing Systems
350,018-147-980-307-681,TUNABLE GROUND CONNECTION TO MAJORANA ZERO MODES
351,087-386-766-324-06X,Oblivious carry runway registers for performing piecewise additions
352,043-721-250-643-448,Auxiliary qubits analysis based on partial compilation of quantum programs
353,051-012-927-448-811,Quantum circuit optimization using windowed quantum arithmetic
